86.16,-4.37,-16.72,-4.66,19.33,83.58,7.87,-63.23,38.98,24.43,71.51,6.21,-86.61,43.82,37.69,-41.55,8.81,60.86,-0.49,6.14,
68.73,-5.34,-29.87,-47.25,9.31,76.93,-4.91,-45.56,17.22,16.40,77.40,-10.52,-74.33,30.78,39.67,-23.22,19.80,44.38,18.65,-4.10,
62.93,-1.60,-32.24,-41.83,3.33,69.21,-6.51,-32.63,5.69,10.85,67.82,-4.27,-95.97,-33.50,33.66,-19.00,15.33,30.67,-14.54,-2.89,
65.94,-17.76,-25.08,-12.36,17.94,69.70,2.07,-62.25,31.50,8.40,70.28,-2.57,-63.57,16.07,17.62,-27.27,18.60,52.49,-1.50,10.07,
70.93,-8.58,-35.40,-17.01,13.57,74.50,6.77,-48.08,16.69,13.90,72.92,-0.65,-77.46,15.41,28.57,-8.95,23.23,47.63,-9.78,12.10,
74.18,3.11,-43.60,-27.78,-0.75,77.23,-0.10,-66.93,2.57,12.23,74.84,0.30,-90.23,16.77,28.44,-9.89,20.57,28.71,-23.76,10.08,
66.22,-5.30,-30.86,-27.32,-5.97,69.05,-4.76,-23.79,11.78,8.73,66.71,-6.79,-57.38,10.73,23.19,-21.39,15.11,38.85,-8.60,12.66,
91.86,1.33,4.12,11.96,18.21,97.48,6.11,-20.36,28.99,9.67,93.19,1.63,-53.97,32.18,36.45,-19.17,11.27,34.18,20.87,-4.40,
89.77,-1.41,-8.93,1.19,3.49,97.59,-0.61,-33.18,10.37,8.64,92.77,-0.15,-67.23,36.42,34.86,-19.14,28.00,22.13,23.32,4.15,
75.10,-25.11,-4.63,15.80,15.45,83.14,-9.90,-33.27,9.64,13.04,70.96,-1.41,-61.28,12.00,31.91,-43.50,12.22,63.72,-9.25,16.57,
80.74,12.97,-45.21,-16.45,8.14,86.60,7.19,-53.03,25.70,20.84,85.90,8.06,-75.59,24.79,42.34,-18.00,19.58,30.05,10.90,0.20,
76.91,-1.22,-14.63,13.71,20.96,93.84,-8.69,-43.86,28.79,14.62,85.33,9.85,-68.28,10.84,32.91,-33.23,24.06,43.68,-1.17,14.41,
66.03,24.32,-36.60,-27.25,-23.27,79.66,-12.93,-21.92,43.09,34.28,78.33,13.26,-57.31,36.54,34.28,-17.57,17.36,27.17,18.41,-6.13,
60.96,-13.43,12.43,51.55,3.30,65.76,-12.75,-32.52,30.64,11.16,62.11,0.77,-57.39,68.57,29.32,-33.71,17.01,43.17,-6.37,10.06,
68.11,-19.46,-1.90,10.19,6.18,72.50,-10.59,-17.51,11.42,5.26,70.62,-8.88,-48.62,24.33,15.49,-16.07,21.01,26.28,11.15,7.69,
53.41,-19.48,2.02,13.99,-3.35,56.32,-12.82,-26.50,25.66,3.49,55.27,-1.35,-46.58,27.74,17.33,-31.15,5.26,46.66,5.67,7.46,
61.28,-29.32,2.08,10.33,8.62,63.62,-12.81,-19.01,5.03,7.99,60.84,-10.86,-50.13,12.58,19.58,-32.62,16.41,50.11,1.52,21.68,
49.79,-27.54,-10.67,-5.34,5.37,56.56,-15.46,-23.00,10.76,7.12,53.49,-11.38,-34.16,9.79,16.77,-29.25,10.01,59.52,-12.45,15.06,
64.25,-26.70,-37.26,-15.20,4.84,68.78,-12.38,-50.56,-4.92,0.12,61.81,-9.43,-68.06,-4.41,15.24,-29.07,15.23,51.16,-5.47,22.40,
59.56,-7.23,-0.87,-15.18,6.63,63.95,-5.41,-4.06,2.58,6.89,60.97,1.99,-45.80,15.27,23.71,-36.73,15.51,55.40,-3.58,9.77,
64.98,4.16,-39.50,16.27,-0.87,71.86,-5.74,-37.86,20.97,9.58,72.26,-8.47,-77.32,4.75,26.09,-28.80,8.57,39.84,3.03,12.72,
53.77,1.87,-25.49,-36.62,10.24,59.90,-5.21,-34.27,14.99,-2.19,57.01,-8.08,-62.16,16.29,26.22,-22.78,10.33,46.19,6.16,4.65,
58.52,13.79,-17.87,-59.02,-21.98,65.03,-3.68,-25.75,-18.54,-11.78,63.60,-7.72,-50.11,3.65,16.88,-21.22,3.55,38.21,-8.23,8.34,
71.72,-1.11,21.27,-3.17,-8.57,78.83,-14.83,-28.42,42.62,-5.99,75.05,-16.74,-79.72,14.01,18.16,-25.09,8.86,45.17,2.22,10.65,
68.47,13.48,-52.63,-44.98,-37.20,77.28,-4.60,-44.45,27.87,12.50,75.03,1.04,-53.06,20.52,34.65,-13.53,20.92,24.59,15.18,-1.86,
55.96,-8.94,-13.14,-37.02,-11.88,61.44,2.57,-20.98,5.26,-2.19,58.58,-8.99,-47.34,15.55,29.45,-19.73,11.00,41.17,6.40,3.21,
53.00,13.92,-27.09,-43.22,-7.82,62.93,-1.36,-36.23,16.28,8.56,61.56,-4.20,-54.85,17.58,28.47,-24.78,19.72,34.74,6.28,15.83,
63.24,15.05,-15.38,-59.42,-17.21,72.06,-13.10,-29.29,13.26,-5.49,65.31,-11.17,-55.12,11.68,37.21,-4.50,17.67,7.79,10.98,-8.90,
50.97,-23.28,11.00,1.38,13.71,62.16,-19.05,-16.75,34.96,6.27,60.44,-9.59,-45.39,28.51,29.14,-37.80,15.02,56.57,-3.50,12.48,
76.14,-28.82,3.28,-19.81,4.51,84.77,-24.90,-28.51,6.26,-4.69,80.98,-19.42,-54.20,30.00,38.32,-21.24,18.95,26.08,13.27,1.33,
55.14,-54.41,-23.09,-24.25,33.94,60.97,-34.82,-48.05,20.10,26.32,57.55,-10.45,-68.58,31.96,49.02,-49.55,35.98,45.00,12.05,16.86,
